firstname,lastname,email,group_name
Bruce,Pollich,carlie.fisher@yahoo.com,New York cats
Kadin,Orn,torey.kiehn@yahoo.com,Missouri gnomes
Jeffry,Jakubowski,trevion.gorczany@hotmail.com,New Jersey rabbits
Kennith,Kutch,kraig.sporer@gmail.com,Idaho goblins
Timmy,Howell,jewel.bernier@gmail.com,New York spirits
Florian,Conn,amari.kulas@yahoo.com,Delaware whales
Lelia,Mayer,alberto.tromp@yahoo.com,New Mexico goblins
Laurianne,Osinski,myrtice.kemmer@hotmail.com,Mississippi banshees
Ismael,Corwin,santino.stiedemann@gmail.com,Missouri enchanters
Otto,Kshlerin,jaylan.klocko@hotmail.com,Mississippi bats
